line,class
"Klaipeda -&gt; New Castle, UK - Cable Reels, 2 units.  LxWxH 9.2x5.9x10.2 mm / Weight: 40200 kg / per unit, plus EU pallet with accessories - 1 mts",Description
"l/c 16-19 APR 2017","Laycan date"
"l/d 12 hrs sshinc / 12 hrs sshinc","Laycan date"
"gnc 2.5 % ttl comm here",Commision
"Misurata -&gt; Iskenderun - 7/15000 mts of scrap sf abt 70 wog","Ports Quantity"
"2.5% ttl comm here",Commision
"acct vanomet ag,zug - 3.75% IAC",Commision
"B.Abbas -&gt; Prachuap - M/M 54/56000 slabs - qty in chopt","Ports Quantity"
"spot/1 april","Laycan date"
"4000fhex uu / 10000shinc","Ld rate"
"gcn 3.75% IAC",Commision
"Max 20 years / min 25mt cranes",Quantity
"Karachi -&gt; Durban ",Ports
"01 Unit  155 MM T5 HOWITZER GUN mounted on a Vehicle",Description
"01/10 April 2017","Laycan date"
"- Unit Weight 30.5 Tons.",Quantity
"Qty: Firm Quantity-1X (45,000-60,000) MT MOLOO",Quantity
"Laycan- 20’April’17 to 26’April’17","Laycan date"
"Load Rate: Sherbo River -7,000 MT/day","Ld rate"
"VPT- 8000 MT/day",Quantity
"GPL-12000 MT/day","Ld rate"
"2.5% TTL Comm HERE",Commision
"laycan 02 – 03 April 2017 ","Laycan date"
"4.500 Sshinc / 2.750 Sshex-eiu ","Ld rate"
"2.5% ttl comm",Commision
"L/D 6 TTL WWDAYS SSHEX EIU","Ld rate"
"GEN 3.75% IAC",Commision
"Barcelona -&gt; Port Said - 44/4570 mts profiles","Ports Quantity"
"29/30  March","Laycan date"
"3000 sshex /800 fshex ","Ld rate"
"Gnc 3.75% iac ",Commision
01-10.April,"Laycan date"
"3.75% iac",Commision
"4000x/ 3000x","Ld rate"
"28-Mar/ 02-April","Laycan date"
"5.0% iac",Commision
"Fuglafjordur, Faroes -&gt; Astakos, Greece - 2.5/3.000 mton fishmeal stw abt 60 ","Ports Quantity"
"5 ttl days sshinc","Ld rate"
"5.0% iac",Commision
"Barcelona -&gt; Port Said - 44/4570 mts profiles","Ports Quantity"
"29/30  March","Laycan date"
"3000 sshex /800 fshex ","Ld rate"
"Gnc 3.75% iac ",Commision
01-10.April,"Laycan date"
"3.75% iac",Commision
"4000x/ 3000x","Ld rate"
"28-Mar/ 02-April","Laycan date"
"5.0% iac",Commision
"Laycan- 20’April’17 to 26’April’17","Laycan date"
"Load Rate: Sherbo River -7,000 MT/day","Ld rate"
"GPL-12000 MT/day","Ld rate"
"2.5% TTL Comm HERE",Commision
"1 TUNISIA -&gt; CONAKRY - 2500 MTS MIN IN BB 1 TON","Ports Quantity"
"4 TTL DAYS","Ld rate"
"2.5% TTL COM HERE",Commision
"60 TTL HOURS",Commision
"2.5% ttl comm here",Commision
"ACCT ILINK - 5.0% IAC",Commision
"GULLUK, TURKEY -&gt; CHITTAGONG - 30000 +/- 5 PCT FELDSPAR - 20/30 APRIL","Ports Quantity"
"2 Novo -&gt; Varna - 3.500 mts 2% chopt alum prods ","Ports Quantity"
"1500 sshinc / 1000 sshex","Ld rate"
"12 / 14 April 2017","Laycan date"
"2.5% ttl comm ",Commision
2000x/2000x,"Ld rate"
29-31.03.2017,"Laycan date"
"2.5% ttl comm here",Commision
2000x/2000x,"Ld rate"
11-14.04.2017,"Laycan date"
"1.25 ttl","Ld rate"
"1 Marmara -&gt; Port Sudan - 12.500mts 10pct wheat flour in bags stw 55'","Ports Quantity"
1750x/1500x,"Ld rate"
"3.75% iac",Commision
"Cargo -  Stone chips in bulk",Description
"Quantity - 55,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong or Mongla",Ports
"Laycan – Spot","Laycan date"
"Load Rate - 10,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Comm - 3.75% IAC 2.5%",Commision
"Cargo -  Tapioca chips in bulk (S/f: 2.2)",Description
"Quantity - 10,000mt +/-10% MOLOO",Quantity
"Laycan: 25-30Mar, 2017","Laycan date"
"Load Rate - 1500mt pwwd shinc","Ld rate"
"Disch Rate - 1,5,00mt pwwd shinc","Ld rate"
"Comm - 3.75% IAC 2.5%",Commision
"Cargo -  Limestone in bulk",Description
"Quantity - 45,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong, Bangladesh ",Ports
"Laycan – 5-10April, 2017","Laycan date"
"Load Rate - 8,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Comm - 3.75% IAC 2.5%",Commision
"Cargo: Woodchips in bulk",Description
"Laycan: 15-20April, 2017","Laycan date"
"Comm - 3.75% IAC 2.5%",Commision
"Cargo : Sandy Calcined Metallurgical Grade Alumina in Plastic Woven Jumbo Bag of about 1 MT each",Description
"Quantity: 20,000mts (+/-10%)",Quantity
"Laycan : 20th - 30th April 2017","Laycan date"
"Gangavaram / Visakapatnam - 3500 MT / 24 hours WWDSHINC","Ld rate"
"COMM : Total 2.5% here",Commision
"30.03 - 04.04.2017","Laycan date"
"1000  / 1000","Ld rate"
"2.5% ttl comm here",Commision
"COM 2.5% TTL HERE",Commision
"2 sb Bandirma -&gt; Immingham - abt 4300 mt +/-5% in chopt hless minerals in bulk and bb (2500 mt blk+1800 mt bb)","Ports Quantity"
"Laycan 05/08 Apr  ","Laycan date"
"2.5% ttl comm here",Commision
"24000 MT + 10 % CHOP COPPER SLAG IN BULK , NON -HAZARDOUS, NON-DANGEROUS,HARMLESS AND LAWFUL CARGO","Quantity Description"
"DISCHARGE PORT 1 SBSP DUQUM PORT, SULTANATE OF OMAN ",Ports
"LOAD RATE : 6,000 MT PWWD SHINC ","Ld rate"
"DISCHARGE RATE : 5,000 MT PWWD FHEX","Ld rate"
"LAYCAN : 10- 15 APRIL 2017","Laycan date"
"COMM : 2.5% TTL HERE",Commision
"5TTL DYS SSHEX EIU","Ld rate"
"5.0% IAC",Commision
"AC SIS - 3.75% IAC",Commision
"1P BANKOK OR KOSCHANG  THILAND -&gt; 1P SALEEF PORT OR HODEAIDAH YEMEN - M/M 10000 M/T BAGGED RICE PACKING 50 KG AND 40 KG","Ports Quantity"
"1200 MT SHEX EIU / 1500 FHEX EIU ","Ld rate"
"LAYCAN 15-20  APRIL  JAN 2017 NEED 2 WEEKS NOTICES ","Laycan date"
1000/1000,"Ld rate"
"29.03 / onw","Laycan date"
"3.75% IAC",Commision
"Account Duferco Shipping sa - 5.0% IAC",Commision
"5-8 April","Laycan date"
"4000 x at load/ 1500 FSHEX at disch","Ld rate"
"01 April 2017 – Onwards ","Laycan date"
"6.000 Shinc / 3,5 days Sshex-eiu ","Ld rate"
"2.5% ttl comm here",Commision
"Chittagong -&gt; Mombasa - 3.525 Tons / 16.945 Cbm - 15/22 May - Comm: 3.75% IAC","Ports Quantity"
"GCN – FIOS - 2,5%",Commision
"Azov/Samsun or Marmara or Aliaga range",Ports
"2500 +/-10 pct SFS in bulk sf abt 85",Description
1000/1000,"Ld rate"
"23-27.04.2017 ","Laycan date"
3.75%,Commision
"HAIFA OR ASHDOD OO -&gt; IZMIR - ABT 1600 CBM - 450 MTS GENERAL CARGO UNDER DECK","Ports Quantity"
"4 TTL DAYS XX EIU BENDS","Ld rate"
"2.5% TTL COMM HERE",Commision
"DANGJIN -&gt; PHU MY (TUNG HO) -&gt; 10,000MT 10% MOLCO SCRAP IN BULK (S/F ABT 2.2 FOR SD OR 2.4 FOR TWD).","Ports Quantity"
"07/14TH APR 2017.","Laycan date"
"2000 UU/CQD.","Ld rate"
"3.75% IAC",Commision
"ACCT AMEROPA - 5.0% IAC",Commision
"AQABA -&gt; 1 MARMARA - 5000/10 MOLOO BULK DAP  DWT ","Ports Quantity"
"1/10 APRIL ","Laycan date"
"3000 FHEX/2500 SSHEX","Ld rate"
"45,000/30,000 shinc","Ld rate"
"10-20th Apr","Laycan date"
"3.75% iac",Commision
"(dims : 0,85 x 1,70 x 1,90 h - 2 t each)",Description
"25/30 APRIL","Laycan date"
"L/D : 3000/3000","Laycan date"
"GCN 5.0% IAC",Commision
"Constanta -&gt; Mukalla - 12000 Tons +/- 5Pct Of Bulk Milling Wheat (Stwf Abt = 46)","Ports Quantity"
"L/D Ports: Constanta (Draft / Aerial Draft 8.00M / 11.00M) -> Mukalla 1/1 Gsbp Aaaa Bends",Ports
"L/D Rates: 3000/1500 Tons Pwwd Sshex/Fhex Bss Eiu Bends","Ld rate"
"Laycan: 15 – 30 April 2017, Need 5 Days Pre-Advice","Laycan date"
"3.75% IAC",Commision
"1 Aveiro -&gt; 1 Sousse - abt 3400nett cbm of Chipboard in packages  ","Ports Quantity"
"4-5 April","Laycan date"
"5 Ttlwwdays sshex eiu","Ld rate"
"Genc 2.5% ttl comm here",Commision
"03/09 April","Laycan date"
3500c/3000c,"Ld rate"
"2.5% TTL COMM HERE",Commision
"3/15 APRIL","Laycan date"
"2 TTL DAYS","Ld rate"
"3.75% IAC",Commision
"Dikili (T.Aegean) -&gt; Dammam - 3/3500 mt harmless min in big bags","Ports Quantity"
"Laycan 15/20 April  ","Laycan date"
"Load/disch  1500 sshex  ","Ld rate"
"3.75% iac",Commision
"(DISCHARGE ESTIMATION NDB 2.000 TONS - +/- 30 HOUR - COST 5 USD/TON – PDA 7500/8000 USD","Ld rate"
"GENCON 5.0% IAC",Commision
"480,000 MT Soft Milling Wheat G2,  USA  licenses","Quantity Description"
"Disch port  Port Sudán ",Ports
"Disch rate CQD ","Ld rate"
"Laycan first shipment 2 half may ","Laycan date"
"2.5% ttl here",Commision
"1 Aveiro -&gt; 1 Sousse - abt 3400nett cbm of Chipboard in packages  ","Ports Quantity"
"4-5 April","Laycan date"
"5 Ttlwwdays sshex eiu","Ld rate"
"Genc 2.5% ttl comm here",Commision
"1ST WEEK APRIL","Laycan date"
"L/d : 2500-3000 / 1800 mt SSHEX EIU","Laycan date"
"2.5% TTL COMM HERE",Commision
"1ST WEEK APRIL","Laycan date"
"L/d : 2500-3000 / 1800 mt SSHEX EIU","Laycan date"
"2.5% TTL COMM HERE",Commision
"03/09 April","Laycan date"
3500c/3000c,"Ld rate"
"2.5% TTL COMM HERE",Commision
"Acct: VAGroup - 3.75% IAC 2.5% ",Commision
"Cargo -  Stone chips in bulk",Description
"Quantity - 55,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong or Mongla",Ports
"Laycan – Spot","Laycan date"
"Load Rate - 10,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  Limestone in bulk",Description
"Quantity - 45,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong, Bangladesh ",Ports
"Laycan 10-15April, 2017","Laycan date"
"Load Rate - 8,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo: Woodchips in bulk",Description
"Laycan: 15-20April, 2017","Laycan date"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  COAL in bulk",Description
"Quantity - 100,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP + 1/2 SBP Kandla, WCI",Ports
"Laycan Early of April, 2017","Laycan date"
"Load Rate - 40,000mt pwwd shinc","Ld rate"
"Disch Rate - 25,000mt pwwd shinc","Ld rate"
"ACCT VANOMET AG, ZUG - 3.75% IAC",Commision
"B.ABBAS -&gt; PRACHUAP - MIN 54.000 / MAX 56.000 SLABS - QTY IN CHOPT","Ports Quantity"
"4.000 FHEX UU / 10.000SHINC","Ld rate"
"Acct: OBC - 3.75% IAC 2.5%",Commision
"Campha, Vietnam -&gt; Chittagong, Bangladesh - 45,000 MT 10% OO Bulk Limestone","Ports Quantity"
"7000 MT / 2500 MT , pwwd shinc bends","Ld rate"
"Ilyichevsk -&gt; Kroman + Martas - 3000 mts of ferrosilicomanganese in bulk , stw=dwt,non imo","Ports Quantity"
04-05.04.2017,"Laycan date"
1000/1000,"Ld rate"
"2.5% ttl comm here",Commision
"ACCT UNITED NATIONS WORLD FOOD PROGRAMME - 2.5% TTL COMMISSION HERE",Commision
"CARGO       14.100 MTS BULK WHEAT PLUS EMPTY BAGS ","Quantity Description"
"DISCH PORT  1-2 SB(S) EACH PORT 1-2 P(S) IN CHARTERERS’ ",Ports
"LAYCAN      15 / 20 APRIL 2017","Laycan date"
"LOADRATE    4.000 MTS PWWD  ","Ld rate"
"DISCH RATE  YEMEN       - 2.500 MTS PWWD ","Ld rate"
"            BERBERA     - 2.500 MTS PWWD ","Ld rate"
"            DJIBOUTI    - 6.000 MTS PWWD CHOPT 5.000 MTS/4.000 MTS/2.000 MTS","Ld rate"
"Discharge Port                          : 1 SBSP DUQUM Port, Sultanate of Oman ",Ports
"Delivery Laycan               : VSL SAIL DIRECTLY FM LOADG PORT TO DISCHG PORT ",Ports
"Discharge Rate                     : 5,000 Mt PWWD FHEX ","Ld rate"
"2.5% ttl comm here",Commision
"laycan: 05/09 april, 2017 ","Laycan date"
"discharging: in chopt 1or 2 berth(s) Beihai, China-NO RESTRICTIONS",Ports
"3.75% iac",Commision
"12-13 Apr","Laycan date"
"6.500 Shinc/5 days Sshex-eiu ","Ld rate"
"2.5% ttl comm here",Commision
"3000 / 3000 sshex eiu   ","Ld rate"
"5.0% iac",Commision
"Acct Borusan - 5.0% IAC 3.75%",Commision
2500/2500,"Ld rate"
"2500 / CQD","Ld rate"
"10-11 April","Laycan date"
"2.5% ttl comm here",Commision
"Chornomorsk -> Psachna - 9000 MTS SOYABEANS ","Ports Quantity"
"2500/3000 sshex eiu ","Ld rate"
"3.75% iac",Commision
"l/d 6 ttl days","Laycan date"
"l/c 4-10 April 2017","Laycan date"
"3.75% iac",Commision
1000/1000,"Ld rate"
"2.5% ttl comm here",Commision
"Acct Borusan - 5.0% IAC 3.75%",Commision
2500/2500,"Ld rate"
"Chornomorsk -> Psachna - 9000 MTS SOYABEANS ","Ports Quantity"
"2500/3000 sshex eiu ","Ld rate"
"3.75% iac",Commision
"laycan: 05/09 april, 2017 ","Laycan date"
"3.75% iac",Commision
"- 5/15 APRIL","Laycan date"
"- 2500 TONS LOAD ",Quantity
"CARGO       14.100 MTS BULK WHEAT PLUS EMPTY BAGS ","Quantity Description"
"DISCH PORT  1-2 SB(S) EACH PORT 1-2 P(S) IN CHARTERERS’ ",Ports
"LAYCAN      15 / 20 APRIL 2017","Laycan date"
"LOADRATE    4.000 MTS PWWD  ","Ld rate"
"DISCH RATE  YEMEN       - 2.500 MTS PWWD ","Ld rate"
"C/P         WORLDFOOD 99 AS AMENDED",Description
"2500 / CQD","Ld rate"
"10-11 April","Laycan date"
"2.5% ttl comm here",Commision
"12-13 Apr","Laycan date"
"6.500 Shinc/5 days Sshex-eiu ","Ld rate"
"2.5% ttl comm here",Commision
"Discharge Port                          : 1 SBSP DUQUM Port, Sultanate of Oman ",Ports
"Discharge Rate                     : 5,000 Mt PWWD FHEX ","Ld rate"
"2.5% ttl comm here",Commision
"3000 / 3000 sshex eiu   ","Ld rate"
"5.0% iac",Commision
"LAYCAN STARTING FM APRIL 2017","Laycan date"
"L/D 5.000 / 3.500 MT","Laycan date"
"3.75% IAC",Commision
"Cargo -  Stone chips in bulk",Description
"Quantity - 55,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong or Mongla",Ports
"Laycan – Spot","Laycan date"
"Load Rate - 10,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  Limestone in bulk",Description
"Quantity - 45,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP Chittagong, Bangladesh ",Ports
"Laycan 10-15April, 2017","Laycan date"
"Load Rate - 8,000mt pwwd shinc","Ld rate"
"Disch Rate - 3,000mt pwwd fhinc","Ld rate"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo: Woodchips in bulk",Description
"Laycan: 15-20April, 2017","Laycan date"
"Acct: VAGroup - 3.75% IAC 2.5%",Commision
"Cargo -  COAL in bulk",Description
"Quantity - 100,000mt +/-10% MOLOO",Quantity
"Disch Port - 1/2 SAP + 1/2 SBP Kandla, WCI",Ports
"Laycan Early of April, 2017","Laycan date"
"Load Rate - 40,000mt pwwd shinc","Ld rate"
"Disch Rate - 25,000mt pwwd shinc","Ld rate"
"Campha, Vietnam -&gt; Chittagong, Bangladesh - 45,000 MT 10% OO Bulk Limestone","Ports Quantity"
"B.ABBAS / PRACHUAP",Ports
"4.000 FHEX UU / 10.000SHINC","Ld rate"
"Laycan- 28’April’17 to 4’May’17","Laycan date"
"Discharge Rate","Ld rate"
"2.5% ttl comm here",Commision
"Laycan- 28’April’17 to 4’May’17","Laycan date"
"Discharge Rate","Ld rate"
"LAYCAN 11/14.04.2017","Laycan date"
"3/10 aprl","Laycan date"
"5.0% iac",Commision
"Laycan- 28’April’17 to 4’May’17","Laycan date"
"3.75% iac",Commision
"3.75% iac",Commision
"-COMM. 3.75 % IAC",Commision
"3.75% IAC",Commision
"2.5% TTL COMM HERE",Commision
"3.75% IAC",Commision
"8000 FSHEX / 3000 MT SSHEX ","Ld rate"
"2.5% TTL COMM HERE",Commision
"LAYCAN STARTING FM APRIL 2017","Laycan date"
"L/D 5.000 / 3.500 MT","Laycan date"
"2.5% TTL COMM HERE",Commision
"3.75% IAC",Commision
"Laycan  vessel date.","Laycan date"
"2.5% ttl comm here",Commision
"2500/2000 sshex bends","Ld rate"
"3.75% IAC",Commision
"EARLY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"EARY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"1ST WEEK APRIL","Laycan date"
"L/d : 2500-3000 / 1800 mt SSHEX EIU","Laycan date"
"10TH APRIL","Laycan date"
"TTL W  900 MTONS ",Quantity
"10TH APRIL","Laycan date"
"TTL W  900MTONS ",Quantity
"Gcn 5.0% iac",Commision
"Gcn 5.0% iac",Commision
"Gcn 5.0% iac",Commision
"LC - May 2017","Laycan date"
"Syna 5.0% iac",Commision
"10/14 April 2017 ","Laycan date"
"5.0% iac",Commision
"16/22 APRIL","Laycan date"
"3.75% IAC",Commision
"3.75% IAC",Commision
"3.75% IAC",Commision
"10TH APRIL","Laycan date"
"TTL W  900MTONS ",Quantity
"Gcn 5.0% iac",Commision
"Gcn 5.0% iac",Commision
"Gcn 5.0% iac",Commision
"16/22 APRIL","Laycan date"
"3.75% IAC",Commision
"L/D TTL DAYS ","Laycan date"
"TTL 3.75% IAC",Commision
"3.75% IAC",Commision
"1ST WEEK APRIL","Laycan date"
"L/d : 2500-3000 / 1800 mt SSHEX EIU","Laycan date"
"LC - May 2017","Laycan date"
"Syna 5.0% iac",Commision
"10/14 April 2017 ","Laycan date"
"5.0% iac",Commision
"2500/2000 sshex bends","Ld rate"
"3.75% IAC",Commision
"EARLY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"EARY MAY 17","Laycan date"
"2.5% TTL COMM HERE",Commision
"VANOMET - 3.75% IAC",Commision
"3.000 SHINC / 3.000 SSHEX EIU","Ld rate"
"LAYCAN 7/10 APRIL","Laycan date"
"3.75% iac",Commision
"L/D PORT: 1SAP KOHSICHANG, THAILAND -> 1SBP RIZHAO, CHINA",Ports
"LYCN: 25-30TH APR.","Laycan date"
"L/D RATE: 7,000MT PWWD SHINC/3,500MT PWWD SHINC","Ld rate"
"LAYCAN : 28/31TH APR. 2017 ","Laycan date"
"3.75% IAC",Commision
"10/15 APRIL ","Laycan date"
"2ND HALF OF APRIL","Laycan date"
"8/12 april","Laycan date"
"3.75% iac",Commision
"4.000ts sshex - 4.000ts shinc","Ld rate"
"gencon 3.75% iac",Commision
"end april dates","Laycan date"
"5.0% IAC",Commision
"12/14 April","Laycan date"
"4000/2000 sshex","Ld rate"
"5/10 APRIL","Laycan date"
"Gcn 5.0% iac",Commision
"L/D   3500 SSHEX EIU / 2500 FSHEX EIU","Laycan date"
"L/D  1000/1000 ton gün —SHEX EIU (Laytime Reversible) ","Laycan date"
"2.5% TTL COMM HERE ",Commision
"6/8 APRIL","Laycan date"
"7000/3000 SHINC BE","Ld rate"
"load rate : 8000 shinc","Ld rate"
"Discharge rate : 10000 shinc","Ld rate"
Laycans:,"Laycan date"
"Comm : 2.5% ttl here",Commision
"LAYCAN: SPOT ONWARD TRY VSL DATE.( PLS ADV OWNS LAYCAN)","Laycan date"
"5.0% IAC ON F/D/D",Commision
"3.75% iac",Commision
"3.75% IAC ",Commision
"end april dates","Laycan date"
"5.0% iac",Commision
"lc 8-9 april","Laycan date"
"3.75% iac ",Commision
"15-20 april ","Laycan date"
"25 APR - 1 MAY","Laycan date"
"01-07 May","Laycan date"
"3.75% iac",Commision
"1,000 / 1,000 sshex bends","Ld rate"
"Discharge Ports:   Setubal (Portugal), Alstom quay",Ports
"18-23 April 2017 ","Laycan date"
"2’000/2’000 sshex eiu ","Ld rate"
"Stemmor 5.25% iac",Commision
"Load rate: 12 days SSHEX EIU","Ld rate"
